gen,best,avg,worst
0,0.355556,0.0304779,0.0111111
1,0.355556,0.0547891,0.0111111
2,0.955556,0.0857109,0.0111111
3,0.955556,0.109044,0.0111111
4,0.955556,0.117711,0.0111111
5,0.955556,0.127711,0.0111111
6,0.955556,0.145412,0.0111111
7,0.955556,0.179789,0.0111111
8,0.955556,0.248134,0.0111111
9,0.955556,0.332391,0.0111111
10,0.955556,0.373247,0.0111111
11,0.955556,0.435136,0.0111111
12,0.955556,0.533769,0.0111111
13,0.955556,0.701305,0.0111111
14,0.955556,0.767394,0.0111111
15,0.955556,0.767039,0.0111111
16,0.955556,0.76745,0.0111111
17,0.955556,0.767283,0.0111111
18,0.955556,0.767261,0.0111111
19,0.955556,0.767305,0.0111111
20,0.955556,0.767483,0.0111111
21,0.955556,0.767339,0.0111111
22,0.955556,0.76725,0.0111111
23,0.955556,0.766983,0.0111111
24,0.955556,0.767294,0.0111111
25,0.955556,0.767261,0.0111111
26,0.955556,0.767428,0.0111111
27,0.955556,0.767561,0.0111111
28,0.955556,0.767172,0.0111111
29,0.955556,0.767161,0.0111111
30,0.955556,0.76735,0.0111111
31,0.955556,0.767317,0.0111111
32,0.955556,0.767305,0.0111111
33,0.955556,0.767817,0.0111111
34,0.955556,0.767116,0.0111111
35,0.955556,0.766961,0.0111111
36,0.955556,0.76715,0.0111111
37,0.955556,0.767372,0.0111111
38,0.955556,0.767283,0.0111111
39,0.955556,0.767105,0.0111111
40,0.955556,0.767128,0.0111111
41,0.955556,0.767172,0.0111111
42,0.955556,0.767428,0.0111111
43,1,0.767572,0.0111111
