predictor,response
6.293863272,342
6.970666879,334
7.846535821,353
5.645425501,365
6.082101866,332
6.697497306,356
8.124174093,376
6.78910893,377
5.575228233,325
6.903724519,365
8.32825069,369
5.926508646,360
4.895276947,340
7.466187489,377
7.943672919,383
6.740842503,359
8.705919091,382
5.977978754,326
4.409059097,329
7.554879391,367
6.242271417,352
6.185918585,367
6.905442193,361
4.66875032,318
6.418843898,350
6.302148551,338
8.372576125,376
5.869291091,341
5.83582613,358
6.409791828,344
5.023170158,341
6.649158822,359
8.396845969,378
5.705164576,344
5.009562764,345
7.819324225,368
7.676435572,367
7.893793071,370
5.519482781,335
5.187502774,324
8.974209806,377
6.686480214,363
5.725257599,361
5.414911438,337
5.726434014,348
6.134739679,354
7.056177777,345
7.118376226,382
6.837026718,361
5.450159168,329
7.816356026,378
6.647627919,351
5.906854871,351
8.038702773,389
6.342340823,354
6.948324874,344
6.116993989,356
7.773940439,363
6.524421329,342
7.404816631,386
5.841971313,328
7.300629558,338
6.848232006,357
6.663684622,354
6.656790812,357
6.112337718,338
7.851686802,365
5.075851043,340
6.27570569,347
7.226174377,374
8.367867667,379
6.675608658,351
7.602996521,366
5.780742836,358
6.203936657,344
6.590688198,359
5.305233913,338
6.184880406,330
4.918900911,322
5.698911789,331
7.392139069,345
6.351863299,358
6.432207744,342
5.249784036,329
5.885247466,343
6.797891515,354
6.960804988,348
4.543912759,343
6.269429157,352
7.97834696,349
7.799160871,371
7.006597337,363
4.223569789,322
5.695347053,325
5.338871868,330
4.826557076,342
7.786735536,359
6.613120331,376
6.099886812,343
6.548570556,333
6.412612699,359
6.414970892,358
6.802698941,373
6.590061641,363
7.043074941,357
5.586358921,326
7.52216783,380
5.938155238,349
5.538243081,342
4.791919849,334
6.743229734,356
5.306126646,333
6.666839909,344
9.51740354,395
5.949273694,328
8.080427871,381
6.255824998,343
4.918550454,333
6.461977251,350
5.356953696,336
8.836243746,376
5.447894278,339
7.921074079,358
8.591349524,371
6.238743049,348
5.565152637,338
5.727285115,365
5.87893929,339
4.53880303,330
5.117086103,333
5.513442453,350
5.961330062,341
6.182182785,360
8.010802801,354
6.867777274,371
5.53939623,337
5.705732314,341
7.045858088,356
6.662540924,351
6.699111053,351
6.592382064,362
6.270357154,344
5.071043137,337
6.561216163,339
6.873299375,364
7.242787575,343
6.067731241,326
7.363137664,347
7.743681798,357
6.828326063,361
5.91116224,348
6.344898358,332
6.769787844,369
7.851709558,363
5.518567471,336
4.752656823,332
6.817842174,371
4.653582483,329
5.335697519,342
7.218986208,359
7.447737204,382
5.501065574,359
